Match #,Date,Player 1,Points Won,Player 2,Points Won,Rounds,Winner,P1 ID,P1 KScore,P1 Old,P1 Change,P1 New,P2 ID,P2 KScore,P2 Old,P2 Change,P2 New
1,6/6/2009,Nathan Walsh 1060,4,Brian Cook 1068,6,5.00,P2,1060,40,1500.00,-5.00,1495.00,1068,40,1500.00,5.00,1505.00
2,6/6/2009,Nathan Walsh 1060,6,Brian Cook 1068,4,5.00,P1,1060,40,1495.00,5.72,1500.72,1068,40,1505.00,-5.72,1499.28
3,6/6/2009,Nathan Walsh 1060,1,Brian Cook 1068,5,3.00,P2,1060,40,1500.72,-10.06,1490.66,1068,40,1499.28,10.06,1509.34
4,3/31/2012,Nathan Walsh 1060,4,Ab Leitch 1061,4,4.00,TIE,1060,40,1490.66,0.54,1491.20,1061,40,1500.00,-0.54,1499.46
5,3/31/2012,Nathan Walsh 1060,2,Jason Beierling 1063,6,4.00,P2,1060,40,1491.20,-9.49,1481.71,1063,40,1500.00,9.49,1509.49
6,3/31/2012,Nathan Walsh 1060,2,Jon Conrad 1069,6,4.00,P2,1060,40,1481.71,-8.95,1472.76,1069,40,1500.00,8.95,1508.95
7,3/31/2012,Nathan Walsh 1060,4,Ray Beierling 1064,4,4.00,TIE,1060,40,1472.76,1.56,1474.32,1064,40,1500.00,-1.56,1498.44
8,3/31/2012,Nathan Walsh 1060,2,Joe Arnup 1065,6,4.00,P2,1060,40,1474.32,-8.52,1465.80,1065,40,1500.00,8.52,1508.52
9,3/31/2012,Nathan Walsh 1060,4,Kent Robinson 1066,4,4.00,TIE,1060,40,1465.80,1.96,1467.76,1066,40,1500.00,-1.96,1498.04
10,3/31/2012,Nathan Walsh 1060,6,Eric Miltenburg 1062,2,4.00,P1,1060,40,1467.76,11.85,1479.61,1062,40,1500.00,-11.85,1488.15
11,3/31/2012,Ab Leitch 1061,3,Jon Conrad 1069,5,4.00,P2,1061,40,1499.46,-4.45,1495.01,1069,40,1508.95,4.45,1513.40
